Temperature,Precipitation,CO2 Levels,Crop Yield,Soil Health,Extreme Weather Events,Crop Disease Incidence,Water Availability,Food Security,Economic Impact
-1.215648615,0.372263884,-1.277599972,-0.239774286,1.575582835,Drought,Low,High,Low,High
0.930126424,-0.936279737,0.420428299,0.512193969,0.872668342,Heatwave,High,Low,High,Low
-0.478038446,-0.063917323,0.017803039,0.159229278,-0.181703396,Flood,Low,Medium,Low,Medium
-1.081537675,1.445940701,-0.804952928,-1.248792915,-0.181703396,Heatwave,Medium,Medium,High,Medium
0.661904544,-1.204698941,-1.347621756,-0.028762786,-1.587532381,Storm,Medium,Medium,High,High
0.058405314,1.445940701,1.103140696,0.328038478,0.521211096,Heatwave,High,High,Low,High
-0.343927506,0.707787889,-1.33011631,1.398442271,0.16975385,Storm,Medium,Medium,Low,High
-1.081537675,-0.131022124,1.348216941,-0.891991651,-0.181703396,Heatwave,Medium,High,Medium,Medium
0.058405314,-1.003384538,-1.102545511,-0.159206259,0.16975385,Flood,Low,High,Low,Low
-1.685036905,1.278178698,-1.295105418,-1.179734605,-1.587532381,Storm,Medium,Medium,High,Low
0.930126424,0.472921085,-1.522676217,1.574924616,1.575582835,Heatwave,Medium,High,Medium,Low
-0.410982976,-1.104041739,-0.717425697,0.320365333,0.521211096,Storm,Low,Low,Medium,High
-1.349759555,-1.271803742,1.715831309,1.287181661,-1.236075135,Drought,Low,Low,Low,High
-1.617981435,-1.439565744,-0.087229638,0.174575569,-0.181703396,Heatwave,High,Medium,High,High
-1.685036905,-1.506670545,0.227868392,1.156738188,0.521211096,Heatwave,Low,High,High,Low
0.259571724,1.211073897,-1.522676217,-0.047945649,1.224125588,Drought,High,Medium,Medium,Medium
0.997181894,-0.298784127,1.295700603,0.80761007,-1.587532381,Heatwave,High,Low,High,Low
0.527793604,0.707787889,1.103140696,1.01862157,0.872668342,Storm,Low,Medium,High,Low
-1.282704085,-0.701412933,0.087824823,0.489174533,-0.884617889,Drought,High,Low,Low,High
1.064237364,1.747912305,0.140341161,-0.569719541,-1.236075135,Drought,Medium,Medium,High,Low
0.125460784,1.278178698,0.858064451,0.539049979,1.224125588,Drought,Medium,Low,Medium,Medium
0.594849074,-0.667860532,0.105330269,1.682348653,0.16975385,Storm,High,High,Medium,High
0.259571724,-1.13759414,1.260689711,-0.535190386,0.521211096,Heatwave,Low,High,High,Medium
-0.880371265,1.4123883,1.48826051,-0.707836159,0.521211096,Heatwave,High,High,Medium,High
-1.081537675,1.378835899,-1.680225232,-0.562046396,-0.181703396,Drought,Low,Low,Medium,Low
-1.014482205,-1.338908543,0.420428299,-0.500661232,-1.587532381,Drought,Medium,Low,High,Medium
-0.545093916,0.77489269,-0.997512834,-1.106839724,0.521211096,Flood,High,High,High,Medium
-0.478038446,0.372263884,-0.787447481,-1.632450188,0.872668342,Drought,Medium,Medium,Low,High
1.332459244,-0.734965333,0.1928575,-1.594084461,-0.884617889,Heatwave,Low,High,Low,High
0.661904544,0.707787889,-0.577382128,-1.053127705,-0.884617889,Heatwave,High,Low,Medium,Medium
-0.612149386,0.204501881,-1.662719786,0.980255843,-1.587532381,Flood,High,High,High,High
-0.947426735,-1.13759414,-0.612393021,-1.655469624,-1.587532381,Flood,High,Medium,High,Low
0.930126424,-0.567203331,0.875569897,-0.001906777,-0.884617889,Heatwave,Medium,High,Low,Medium
-1.550925965,1.580150303,-1.750247016,1.248815934,0.16975385,Drought,Medium,Low,Low,High
-0.343927506,1.4123883,-0.402327667,1.087679879,-1.236075135,Storm,Low,High,High,High
-0.746260325,0.607130687,1.40073328,1.110699316,1.224125588,Flood,Medium,Low,Low,High
0.259571724,-0.365888928,1.313206049,0.830629506,0.521211096,Heatwave,Medium,Low,Medium,High
-1.550925965,1.110416695,-0.087229638,-1.394582678,-0.884617889,Storm,Low,Medium,High,Low
1.667736594,0.439368685,1.505765956,-1.248792915,-1.236075135,Heatwave,Low,Medium,Medium,High
0.930126424,-0.768517734,-0.909985604,0.301182469,-0.884617889,Heatwave,Medium,Medium,Low,Medium
1.667736594,1.747912305,0.140341161,1.049314152,1.224125588,Flood,High,Low,Medium,Medium
-0.746260325,1.580150303,-0.577382128,1.716877807,-1.236075135,Storm,Medium,Low,High,High
-0.813315795,-1.305356142,1.015613466,-0.170715977,-0.533160642,Drought,Medium,Medium,Medium,Medium
-0.880371265,0.036739879,1.593293187,1.471337153,-0.533160642,Storm,Low,High,High,Medium
-0.545093916,-0.667860532,-0.804952928,-1.643959906,-0.181703396,Flood,Low,High,Medium,Low
-1.282704085,0.472921085,0.753031774,0.10551726,0.521211096,Drought,Medium,Medium,Medium,Medium
-1.416815025,-0.634308132,-1.347621756,1.225796498,0.872668342,Drought,High,Low,Medium,Medium
0.326627194,-1.506670545,-0.104735084,-0.170715977,1.224125588,Storm,High,Low,Medium,High
0.192516254,-0.432993729,-0.629898467,0.31652876,0.872668342,Drought,High,Medium,Low,Medium
-1.148593145,-0.768517734,-0.52486579,-1.352380378,-1.587532381,Drought,High,Low,Low,Medium
0.326627194,-1.13759414,-1.73274157,0.040295523,0.16975385,Storm,Medium,Low,Medium,Medium
0.058405314,0.10384468,1.138151588,1.152901616,-1.587532381,Storm,Low,Low,Medium,Low
-1.282704085,-1.271803742,-1.032523727,-1.233446624,1.575582835,Drought,Medium,High,Medium,Medium
-1.483870495,-0.936279737,-0.962501942,-1.25646606,0.16975385,Heatwave,High,Medium,Medium,High
-1.617981435,-1.13759414,-1.312610864,-0.949540242,0.16975385,Flood,High,Low,Low,High
1.198348304,0.003187478,0.59548276,0.040295523,0.521211096,Flood,High,Low,Low,Low
0.930126424,0.238054282,-0.017207854,1.38309598,0.872668342,Drought,High,Low,Low,Low
-0.880371265,0.875549892,1.260689711,-0.136186822,-0.181703396,Storm,High,High,Medium,Low
-1.550925965,0.607130687,-1.540181663,-0.285813159,1.575582835,Drought,High,High,Low,High
1.667736594,0.573578287,1.068129804,-1.218100333,0.16975385,Heatwave,High,Medium,High,High
-0.679204855,0.070292279,1.470755064,-1.314014651,-0.181703396,Storm,High,Low,Low,Low
-0.545093916,-0.50009853,1.628304079,-1.50967986,0.521211096,Storm,Medium,High,Low,Low
0.728960014,-1.271803742,-0.997512834,-0.868972214,-1.236075135,Flood,High,Low,Medium,Low
0.125460784,0.540025886,-0.909985604,1.053150725,-1.236075135,Storm,Medium,Medium,High,Low
-1.282704085,-0.902727336,-0.43733856,0.186085287,0.872668342,Heatwave,Low,Medium,High,High
-0.209816566,0.875549892,0.647999098,-1.206590615,0.521211096,Flood,Low,Medium,Low,Medium
-1.550925965,0.540025886,0.735526328,-0.604248696,-0.181703396,Flood,Medium,Medium,Medium,High
-1.081537675,-0.030364922,-0.804952928,0.151556133,0.521211096,Storm,High,Low,Low,High
0.527793604,-1.003384538,-0.980007388,-0.362544613,-0.181703396,Heatwave,Medium,Medium,High,Medium
1.064237364,0.238054282,0.647999098,0.377913924,-0.884617889,Heatwave,Medium,High,Low,High
-1.416815025,1.244626297,0.070319377,-0.339525177,0.872668342,Flood,High,High,High,High
-0.813315795,-0.835622535,0.612988206,1.137555325,-0.533160642,Drought,Medium,Medium,Low,Low
0.460738134,-1.372460943,-0.594887574,1.578761189,-0.533160642,Flood,Low,Medium,Low,High
-0.880371265,1.513045502,0.735526328,-0.124677104,0.872668342,Flood,High,High,High,Low
-0.612149386,-0.097469724,-0.192262314,0.581252279,-0.181703396,Storm,Medium,High,Low,High
-1.081537675,-0.667860532,-1.592698002,0.631127724,-1.587532381,Flood,Low,Medium,High,Medium
0.058405314,0.74134029,1.680820417,-1.490496997,1.224125588,Heatwave,Low,High,High,High
1.667736594,1.244626297,0.840559005,-0.462295505,-0.884617889,Heatwave,High,High,Low,High
0.527793604,0.003187478,0.910580789,-1.202754042,1.575582835,Heatwave,Low,Medium,Medium,Low
0.527793604,0.909102292,0.36791196,-1.267975778,1.575582835,Drought,Low,Medium,High,High
-1.215648615,-0.667860532,1.138151588,0.120863551,0.16975385,Storm,Medium,High,Medium,High
